"","Name","Owner","Created","Pushed","Watchers","Forks","Language","Rank"
"1","android-async-http","loopj","2011-02-20","2014-02-18",3017,1487,"B",10
"2","storm","nathanmarz","2011-09-17","2014-02-10",7990,1536,"B",9
"3","elasticsearch","elasticsearch","2010-02-08","2014-03-01",6019,1553,"B",8
"4","android","github","2011-09-08","2014-02-21",3677,1638,"B",7
"5","Android-ViewPagerIndicator","JakeWharton","2011-08-04","2013-03-02",3266,1747,"B",6
"6","Android-Universal-Image-Loader","nostra13","2011-11-27","2014-02-23",3885,1769,"B",5
"7","spring-framework","spring-projects","2010-12-08","2014-02-28",3050,2236,"B",4
"8","libgdx","libgdx","2012-08-10","2014-02-28",2944,2374,"B",3
"9","SlidingMenu","jfeinstein10","2012-06-30","2013-12-09",4911,2821,"B",2
"10","ActionBarSherlock","JakeWharton","2011-03-07","2013-10-07",5372,2929,"B",1
"11","httpie","jkbr","2012-02-25","2014-02-18",6738,336,"A",10
"12","sentry","getsentry","2010-08-30","2014-02-28",4518,576,"A",9
"13","Probabilistic-Programming-and-Bayesian-Methods-for-Hackers","CamDavidsonPilon","2013-01-14","2014-02-26",5165,837,"A",8
"14","reddit","reddit","2008-06-18","2014-03-01",5225,1167,"A",7
"15","python-guide","kennethreitz","2011-03-15","2014-02-25",4342,1369,"A",6
"16","requests","kennethreitz","2011-02-13","2014-03-01",8950,1403,"A",5
"17","ansible","ansible","2012-03-06","2014-03-01",4859,1422,"A",4
"18","tornado","facebook","2009-09-09","2014-02-23",6813,1790,"A",3
"19","flask","mitsuhiko","2010-04-06","2014-02-20",8751,2148,"A",2
"20","django","django","2012-04-28","2014-03-01",8962,3349,"A",1
"21","ProjectTemplate","johnmyleswhite","2010-08-24","2014-02-25",234,40,"D",10
"22","dplyr","hadley","2012-10-28","2014-02-27",237,41,"D",9
"23","plyr","hadley","2008-11-19","2014-02-27",276,42,"D",8
"24","red","red","2011-03-07","2014-03-01",321,60,"D",7
"25","slidify","ramnathv","2012-06-07","2014-02-24",313,70,"D",6
"26","shiny","rstudio","2012-06-20","2014-02-28",505,112,"D",5
"27","devtools","hadley","2010-05-03","2014-02-21",765,149,"D",4
"28","ggplot2","hadley","2008-05-25","2014-02-26",781,159,"D",3
"29","knitr","yihui","2011-10-17","2014-02-11",572,207,"D",2
"30","ML_for_Hackers","johnmyleswhite","2012-02-10","2013-12-13",908,507,"D",1
