"","Name","Owner","Created","Pushed","Watchers","Forks","CRAN","Package","YearCreated"
"60","agency-loan-level","toddwschneider","2015-06-09","2015-06-09",138,29,NA,"Other","2015"
"61","ggthemr","cttobin","2013-10-06","2015-06-28",137,21,NA,"Other","2013"
"62","rappor","google","2014-10-16","2015-08-29",134,26,NA,"Other","2014"
"63","packrat","rstudio","2013-10-08","2015-08-31",131,32,"2015-06-16","CRAN","2013"
"64","pander","Rapporter","2012-05-25","2015-08-25",130,35,"2015-05-18","CRAN","2012"
"65","rstan","stan-dev","2013-05-22","2015-08-31",128,40,"2015-07-18","CRAN","2013"
"66","rplos","ropensci","2011-06-02","2015-08-25",123,85,"2015-08-05","CRAN","2011"
"67","dirichlet-process","echen","2012-03-20","2015-04-15",123,30,NA,"Other","2012"
"68","reshape","hadley","2008-08-20","2015-08-26",120,38,"2014-04-23","CRAN","2008"
"69","d3Network","christophergandrud","2013-06-12","2015-01-31",118,36,"2015-01-31","CRAN","2013"
"70","rga","skardhamar","2012-11-27","2015-09-01",116,70,NA,"Other","2012"
"71","revere","kjhealy","2013-06-10","2015-01-27",114,40,NA,"Other","2013"
"72","ggmap","dkahle","2011-11-29","2015-08-20",113,55,"2015-08-21","CRAN","2011"
"73","networkD3","christophergandrud","2014-08-01","2015-08-27",113,75,"2015-08-25","CRAN","2014"
"74","remake","richfitz","2014-09-06","2015-07-29",112,10,NA,"Other","2014"
"75","engsoccerdata","jalapic","2014-08-01","2015-07-27",109,44,NA,"Other","2014"
"76","top-github-users-data","JJ","2014-12-04","2015-09-01",109,18,NA,"Other","2014"
"77","shiny-salesman","toddwschneider","2014-09-14","2014-10-02",109,26,NA,"Other","2014"
"78","osd-street-center-line","Chicago","2013-01-26","2015-08-03",107,25,NA,"Other","2013"
"79","purrr","hadley","2014-11-29","2015-08-25",105,23,NA,"Other","2014"
"80","Intro","rstudio","2014-11-11","2014-11-12",104,120,NA,"Other","2014"
"81","lintr","jimhester","2014-09-28","2015-08-12",103,17,"2014-12-01","CRAN","2014"
"82","stringr","hadley","2009-11-08","2015-08-05",101,34,"2015-04-30","CRAN","2009"
"83","knitcitations","cboettig","2012-03-25","2015-06-10",101,21,"2015-05-26","CRAN","2012"
"84","shinyapps","rstudio","2013-09-27","2015-07-14",100,90,NA,"Other","2013"
"85","bigrquery","hadley","2013-05-22","2015-07-04",100,42,"2015-01-13","CRAN","2013"
"86","RHive","nexr","2011-10-27","2015-08-03",99,48,NA,"Other","2011"
"87","Rfacebook","pablobarbera","2013-10-14","2015-08-22",99,97,"2015-08-07","CRAN","2013"
"88","data-science-r","jmstanto","2012-05-24","2012-06-11",95,117,NA,"Other","2012"
"89","testdat","ropensci","2013-09-23","2014-09-11",95,16,NA,"Other","2013"
"90","rbokeh","bokeh","2014-12-14","2015-07-23",93,16,NA,"Other","2014"
"91","r-tutorials","ranalytics","2014-12-01","2015-06-24",92,44,NA,"Other","2014"
"92","git-submodule-tools","kollerma","2011-03-18","2014-03-28",92,13,NA,"Other","2011"
"93","DistributedR","vertica","2014-08-01","2015-09-01",91,32,NA,"Other","2014"
"94","example-models","stan-dev","2014-08-08","2015-08-20",90,65,NA,"Other","2014"
"95","choroplethr","trulia","2014-01-08","2015-03-09",87,37,"2015-08-27","CRAN","2014"
"96","evsrc","armish","2014-12-10","2014-12-19",87,10,NA,"Other","2014"
"97","Rook","jeffreyhorner","2011-04-21","2015-07-30",87,20,"2014-10-20","CRAN","2011"
"98","DT","rstudio","2014-11-11","2015-08-28",86,26,"2015-06-09","CRAN","2014"
"99","pipeR","renkun-ken","2014-04-07","2015-07-29",86,19,"2015-07-08","CRAN","2014"
"100","ReporteRs","davidgohel","2014-01-27","2015-08-04",84,16,"2015-08-03","CRAN","2014"
