"","Name","Owner","Created","Pushed","Watchers","Forks"
"97","sweSCB","rOpenGov","2013-04-20","2014-11-29",8,3
"98","testapp","wch","2013-04-06","2014-08-15",10,7
"99","workshop","pablobarbera","2013-03-24","2013-03-25",12,24
"100","twitterchive","stephenturner","2013-03-12","2015-02-19",32,10
"101","gp-r","pivotalsoftware","2013-03-06","2014-11-19",13,15
"102","data.table.extras","kevinushey","2013-02-28","2014-08-23",6,5
"103","Rdata","floswald","2013-02-11","2014-04-02",6,3
"104","netintel","hrbrmstr","2013-02-08","2014-08-30",13,5
"105","rhdfs","RevolutionAnalytics","2013-02-05","2013-11-11",43,43
"106","quickcheck","RevolutionAnalytics","2013-02-05","2015-02-25",29,13
"107","neotoma","ropensci","2013-01-29","2015-02-24",8,6
"108","shiny_apps","cpsievert","2013-01-28","2015-01-20",16,12
"109","rpubmed","rOpenHealth","2013-01-27","2014-03-06",17,8
"110","shiny_example","rstudio","2013-01-23","2013-01-23",7,10
"111","plotflow","trinker","2013-01-17","2014-12-01",26,3
"112","devium","dgrapov","2013-01-02","2014-11-20",29,28
"113","elife","ropensci","2012-11-03","2014-12-11",6,3
"114","sandy","hrbrmstr","2012-10-28","2013-08-17",10,4
"115","shiny-sandbox","trestletech","2012-10-26","2013-02-22",44,34
"116","BanditsBook","johnmyleswhite","2012-10-25","2013-12-10",211,66
"117","CompStats","jbryer","2012-10-17","2013-02-28",10,6
"118","distribution_diagrams","rasmusab","2012-10-14","2014-11-24",23,8
"119","rmini","yihui","2012-09-12","2014-11-21",24,15
"120","rmetadata","ropensci","2012-09-03","2014-10-28",8,3
"121","gmailR","trinker","2012-08-30","2014-09-12",19,9
"122","roxygen3","hadley","2012-08-27","2013-11-30",20,5
"123","MLNotes","johnmyleswhite","2012-07-21","2012-08-05",236,43
"124","Rdatasets","vincentarelbundock","2012-07-13","2014-09-23",97,39
"125","usgsd","ajdamico","2012-07-04","2015-02-17",171,155
"126","sentiment","andrie","2012-06-24","2013-06-04",7,2
"127","bayesian_nonparametrics","johnmyleswhite","2012-06-17","2012-07-26",29,8
"128","cv.ts","zachmayer","2012-06-11","2014-10-06",10,0
"129","poirot","ramnathv","2012-06-10","2013-05-16",18,5
"130","slidify","ramnathv","2012-06-07","2014-06-11",506,168
"131","knitr-talks","yihui","2012-06-01","2014-07-06",12,20
"132","ggplyr","garrettgman","2012-05-20","2012-08-16",7,1
"133","sandboxR","Rapporter","2012-04-02","2014-07-27",19,7
"134","Sermon-Sentiment-Analysis","trestletech","2012-03-31","2012-03-31",8,6
"135","Sermon-Sentiment-Analysis","trestletech","2012-03-31","2012-03-31",8,6
"136","vtest","wch","2012-03-23","2014-04-24",6,1
"137","staticdocs","hadley","2012-03-15","2014-12-12",65,27
"138","takomo","louhos","2012-03-03","2014-11-05",7,3
"139","rDrop","karthik","2012-03-01","2014-12-16",57,15
"140","opencpu-legacy","jeroenooms","2012-02-27","2013-03-08",45,12
"141","r_tutorial_ed","jknowles","2012-02-15","2013-07-30",31,32
"142","sandbox","ropensci","2012-02-11","2013-06-26",7,0
"143","ML_for_Hackers","johnmyleswhite","2012-02-10","2013-12-13",1525,1045
"144","JAGSExamples","johnmyleswhite","2012-02-10","2012-04-26",53,12
"145","pisa","jbryer","2012-02-09","2013-02-16",8,3
"146","cn","yihui","2012-02-04","2015-01-02",23,49
"147","earlywarning","cboettig","2012-02-01","2015-01-19",6,1
"148","qualtrics","jbryer","2012-01-26","2012-11-05",10,5
"149","opencpu.demo-legacy","jeroenooms","2012-01-21","2013-08-26",13,5
"150","makeR","jbryer","2012-01-05","2013-06-17",15,10
"151","Optimization-using-R","taiyun","2011-12-06","2011-12-08",8,8
"152","mturkr","hadley","2011-11-29","2012-07-25",9,3
"153","staTeX","SachaEpskamp","2011-11-19","2013-11-01",12,3
"154","rOpenSci","ropensci","2011-11-18","2012-03-21",28,1
"155","lyx","yihui","2011-11-09","2015-01-18",17,7
"156","irutils","jbryer","2011-11-09","2013-01-14",11,3
"157","TextRegression","johnmyleswhite","2011-10-30","2012-05-13",20,5
"158","opencpu.encode","jeroenooms","2011-07-26","2012-03-12",7,0
"159","r-slopegraph","jkeirstead","2011-07-16","2013-12-12",42,21
"160","Visual-Inference-Tools","garrettgman","2011-06-23","2011-11-27",9,2
"161","RMendeley","ropensci","2011-05-06","2014-08-20",38,6
"162","R-Websockets","rstudio","2011-04-17","2014-08-24",49,21
"163","ggally","ggobi","2011-02-19","2015-02-03",38,27
"164","rRack","jeffreyhorner","2011-02-15","2012-01-12",52,2
"165","BehavioralEconomics","johnmyleswhite","2010-12-31","2011-03-08",6,1
"166","cranvas","ggobi","2010-12-16","2014-12-04",65,14
"167","socialR","cboettig","2010-12-11","2013-09-11",14,2
"168","densityvis","hadley","2010-11-07","2011-02-21",6,3
"169","raconteur","jeffreyhorner","2010-10-21","2011-01-24",10,1
"170","r_recommendation_system","johnmyleswhite","2010-10-07","2010-11-26",59,29
"171","sinartra","hadley","2010-05-01","2011-10-16",11,1
"172","iqfeed","bwlewis","2010-04-22","2011-03-31",17,8
"173","productplots","hadley","2009-11-26","2013-07-18",7,2
"174","helpr","hadley","2009-11-18","2012-04-09",19,5
"175","mutatr","hadley","2009-08-13","2010-07-03",6,1
"176","data-baby-names","hadley","2009-05-15","2009-10-21",71,32
"177","data-housing-crisis","hadley","2009-05-14","2010-04-14",30,5
"178","cachesweave","rdpeng","2009-02-04","2013-09-05",14,3
"179","data-counties","hadley","2008-11-06","2009-04-27",15,3
"180","sfhousing","hadley","2008-10-10","2009-09-29",22,4
"181","decumar","hadley","2008-08-08","2011-03-25",39,0
